BotID,Cycle,EntryPrice,ExitPrice,EntryBar,ExitBar,Leverage,PnL,Direction,ChunkID,OutOfCycle,Signature
1,4,25924.1992,25811.5,40541,40569,19.0,0.07,SHORT,0,0,40541:40569:SHORT:7
1,4,25565.0,25811.5,40553,40569,19.0,-0.2,SHORT,0,0,40553:40569:SHORT:-20
1,1,26151.0996,26144.6992,10280,10333,19.0,-0.02,LONG,0,0,10280:10333:LONG:-2
1,1,26137.1992,26144.6992,10299,10333,19.0,-0.01,LONG,0,0,10299:10333:LONG:-1
1,2,27112.0,27169.5996,20360,20448,19.0,-0.05,SHORT,0,0,20360:20448:SHORT:-5
1,2,27169.5996,27798.3086,20448,20451,19.0,0.43,LONG,0,0,20448:20451:LONG:43
1,4,25811.5,25780.6992,40569,40690,19.0,-0.04,LONG,0,0,40569:40690:LONG:-4
1,4,25819.6992,25780.6992,40591,40690,19.0,-0.04,LONG,0,0,40591:40690:LONG:-4
1,3,29308.9004,29325.5,30524,30652,19.0,-0.0,LONG,0,0,30524:30652:LONG:0
1,3,29325.5,29283.4004,30652,30661,19.0,0.01,SHORT,0,0,30652:30661:SHORT:1
1,0,29970.6992,29690.8008,231,429,19.0,-0.19,LONG,0,0,231:429:LONG:-19
1,0,30122.1992,29690.8008,240,429,19.0,-0.29,LONG,0,0,240:429:LONG:-29
1,3,29283.4004,29282.5,30661,30690,19.0,-0.01,LONG,0,0,30661:30690:LONG:-1
1,3,29298.0,29282.5,30687,30690,19.0,-0.02,LONG,0,0,30687:30690:LONG:-2
1,4,25780.6992,25836.0,40690,40771,19.0,-0.05,SHORT,0,0,40690:40771:SHORT:-5
1,4,25787.0,25836.0,40716,40771,19.0,-0.05,SHORT,0,0,40716:40771:SHORT:-5
1,4,25836.0,25834.5996,40771,40776,19.0,-0.01,LONG,0,0,40771:40776:LONG:-1
1,2,28079.0996,28337.0996,20451,20634,19.0,0.16,LONG,0,0,20451:20634:LONG:16
1,2,28337.0996,28441.3008,20634,20635,19.0,-0.08,SHORT,0,0,20634:20635:SHORT:-8
1,2,27800.6992,28186.6875,20452,20662,19.0,0.25,LONG,0,0,20452:20662:LONG:25
1,3,29282.5,29295.9004,30690,30770,19.0,-0.02,SHORT,0,0,30690:30770:SHORT:-2
1,3,29308.9004,29295.9004,30700,30770,19.0,-0.01,SHORT,0,0,30700:30770:SHORT:-1
1,4,25834.5996,25770.9004,40776,40852,19.0,0.03,SHORT,0,0,40776:40852:SHORT:3
1,4,25886.6992,25770.9004,40809,40852,19.0,0.07,SHORT,0,0,40809:40852:SHORT:7
1,4,25770.9004,25819.0,40852,40855,19.0,0.02,LONG,0,0,40852:40855:LONG:2
1,4,25773.1992,25819.0,40853,40855,19.0,0.02,LONG,0,0,40853:40855:LONG:2
1,2,28441.3008,27790.4004,20635,20696,19.0,-0.45,LONG,0,0,20635:20696:LONG:-45
1,4,25819.0,25886.3008,40855,40911,19.0,-0.06,SHORT,0,0,40855:40911:SHORT:-6
1,3,29295.9004,29351.0996,30770,30843,19.0,0.02,LONG,0,0,30770:30843:LONG:2
1,3,29330.5996,29351.0996,30781,30843,19.0,-0.0,LONG,0,0,30781:30843:LONG:0
1,4,25886.3008,25841.1992,40911,40926,19.0,-0.05,LONG,0,0,40911:40926:LONG:-5
1,1,26144.6992,26095.6992,10333,10687,19.0,0.02,SHORT,0,0,10333:10687:SHORT:2
1,1,26047.1992,26095.6992,10412,10687,19.0,-0.05,SHORT,0,0,10412:10687:SHORT:-5
