bar,open,high,low,close,volume,batched,isolated,cpu,abs_bi,abs_ic,abs_bc
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,0.0,0.0,0.0,0.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,-87657.203125,-4816.0,-4816.0,82841.203125,0.0,82841.203125
2,88080.4,88080.4,87849.9,87850.0,10862.0,-175253.703125,-15678.0,-15678.0,159575.703125,0.0,159575.703125
3,87857.1,87944.5,87780.2,87930.1,15390.0,-87751.1015625,-288.0,-288.0,87463.1015625,0.0,87463.1015625
4,87930.2,88039.6,87930.2,87991.6,4863.0,-175123.59375,4575.0,4575.0,179698.59375,0.0,179698.59375
5,87980.8,87980.8,87852.6,87856.9,2161.0,-262324.5,2414.0,2414.0,264738.5,0.0,264738.5
6,87862.5,87869.1,87773.9,87797.8,3002.0,-349608.1875,-588.0,-588.0,349020.1875,0.0,349020.1875
7,87794.2,87794.2,87660.4,87672.7,7045.0,-436485.875,-7633.0,-7633.0,428852.875,0.0,428852.875
8,87672.6,87704.8,87569.3,87664.0,6992.0,-349448.78125,-14625.0,-14625.0,334823.78125,0.0,334823.78125
9,87657.2,87718.7,87621.5,87639.1,4116.0,-262511.0625,-18741.0,-18741.0,243770.0625,0.0,243770.0625
10,87649.7,87726.9,87580.2,87580.2,5538.0,-349224.46875,-24279.0,-24279.0,324945.46875,0.0,324945.46875
11,87583.2,87604.9,87412.0,87430.1,7937.0,-262663.375,-32216.0,-32216.0,230447.375,0.0,230447.375
12,87427.6,87504.4,87326.9,87504.4,28049.0,-175782.578125,-4167.0,-4167.0,171615.578125,0.0,171615.578125
13,87505.9,87647.8,87477.7,87600.8,5425.0,-88739.78125,1258.0,1258.0,89997.78125,0.0,89997.78125
14,87596.5,87649.2,87531.3,87564.6,5409.0,-1612.6796875,-4151.0,-4151.0,2538.3203125,0.0,2538.3203125
15,87564.6,87669.2,87529.0,87648.0,5356.0,85772.6171875,1205.0,1205.0,84567.6171875,0.0,84567.6171875
16,87649.4,87731.5,87631.9,87721.9,8400.0,-1328.8828125,9605.0,9605.0,10933.8828125,0.0,10933.8828125
17,87708.6,87759.6,87682.4,87759.6,6562.0,85944.4140625,16167.0,16167.0,69777.4140625,0.0,69777.4140625
18,87750.7,87750.7,87519.8,87519.8,4150.0,-1202.484375,12017.0,12017.0,13219.484375,0.0,13219.484375
