bar,open,high,low,close,volume,gpu_value,cpu_value,diff
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,0.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,0.0,0.0,0.0
2,88080.4,88080.4,87849.9,87850.0,10862.0,0.0,-158.30469,158.30469
3,87857.1,87944.5,87780.2,87930.1,15390.0,0.0,311.8047,311.8047
4,87930.2,88039.6,87930.2,87991.6,4863.0,0.0,-18.601562,18.601562
5,87980.8,87980.8,87852.6,87856.9,2161.0,0.0,-196.20312,196.20312
6,87862.5,87869.1,87773.9,87797.8,3002.0,0.0,75.60156,75.60156
7,87794.2,87794.2,87660.4,87672.7,7045.0,0.0,-65.99219,65.99219
8,87672.6,87704.8,87569.3,87664.0,6992.0,0.0,116.390625,116.390625
9,87657.2,87718.7,87621.5,87639.1,4116.0,0.0,-16.195312,16.195312
10,87649.7,87726.9,87580.2,87580.2,5538.0,0.0,-34.0,34.0
11,87583.2,87604.9,87412.0,87430.1,7937.0,293.60156,-91.203125,384.8047
12,87427.6,87504.4,87326.9,87504.4,28049.0,285.10156,224.39844,60.703125
13,87505.9,87647.8,87477.7,87600.8,5425.0,-116.30469,22.101562,138.40625
14,87596.5,87649.2,87531.3,87564.6,5409.0,460.20312,-132.59375,592.7969
15,87564.6,87669.2,87529.0,87648.0,5356.0,347.89844,119.59375,228.30469
16,87649.4,87731.5,87631.9,87721.9,8400.0,-69.796875,-9.5,60.296875
17,87708.6,87759.6,87682.4,87759.6,6562.0,400.59375,-36.195312,436.78906
18,87750.7,87750.7,87519.8,87519.8,4150.0,-334.1953,-277.5078,56.6875
19,87502.6,87590.1,87498.4,87562.6,3954.0,296.5,282.60938,13.890625
20,87566.9,87578.4,87328.7,87343.5,11941.0,386.29688,-261.90625,648.2031
21,87343.4,87344.0,87227.3,87256.3,12379.0,-184.10156,131.89844,316.0
22,87252.7,87420.8,87252.7,87392.1,3767.0,-20.296875,223.00781,243.30469
23,87392.1,87404.4,87287.0,87371.4,6300.0,-301.60156,-156.50781,145.09375
24,87372.5,87475.6,87339.6,87471.7,3668.0,-102.60156,121.00781,223.60938
25,87471.1,87484.4,87403.9,87439.2,2831.0,-169.20312,-132.80469,36.398438
26,87436.2,87436.2,87315.9,87370.4,3545.0,48.109375,-36.304688,84.41406
27,87363.6,87377.7,87303.3,87303.3,4063.0,-204.10156,1.703125,205.80469
28,87303.2,87318.1,87204.0,87204.0,3420.0,317.0,-32.195312,349.1953
29,87200.9,87280.4,87200.9,87257.5,3839.0,-265.60156,152.79688,418.39844
30,87263.5,87278.8,87211.2,87226.8,13526.0,-179.10156,-84.203125,94.89844
31,87226.1,87258.0,87206.6,87206.6,2066.0,-32.0,10.5078125,42.507812
32,87205.6,87205.6,87154.6,87173.2,5683.0,123.10156,-13.203125,136.30469
33,87173.3,87298.7,87173.3,87286.8,7188.0,213.89844,146.99219,66.90625
34,87283.7,87286.9,87182.4,87186.8,7126.0,-184.89844,-213.59375,28.695312
35,87183.8,87183.8,87080.0,87080.0,7382.0,-57.59375,-6.796875,50.796875
36,87080.0,87113.9,86878.6,86895.9,34739.0,-68.3125,-77.30469,8.9921875
37,86901.3,86939.1,86776.4,86781.0,17855.0,124.00781,69.203125,54.804688
38,86790.1,86895.4,86767.0,86877.6,13092.0,-538.5078,211.5,750.0078
39,86877.7,86894.4,86752.5,86799.2,5481.0,-129.29688,-175.0,45.703125
40,86806.7,86985.6,86797.5,86985.6,5524.0,354.20312,264.79688,89.40625
41,86985.6,87091.2,86985.6,87037.7,6819.0,67.80469,-134.29688,202.10156
42,87042.2,87085.2,87006.2,87022.0,9574.0,-415.20312,-67.80469,347.39844
43,87016.0,87059.1,86992.0,87055.7,4562.0,-14.0,49.40625,63.40625
44,87037.1,87118.4,87034.5,87034.5,4385.0,220.39844,-54.90625,275.3047
45,87034.0,87079.4,86918.0,86918.1,5614.0,-317.0,-95.19531,221.80469
