indicator,mean_diff,max_diff,samples
39,1.0491863e+08,2.107588e+08,1440
36,3.0249455e+06,6.0362495e+06,1440
48,4224.385,590331.8,1440
17,3722.1868,585911.2,1440
30,4078.648,556379.0,1440
24,22763.6,304924.9,1440
32,20546.902,228772.6,1440
46,1420.5657,213287.0,1440
23,14828.987,212206.12,1440
41,16116.132,195932.6,1440
6,15812.533,115450.03,1440
42,67543.08,111963.0,201
43,61734.91,87333.8,200
40,59588.11,82804.86,1421
31,12760.973,82792.99,1440
0,15883.368,82215.48,1440
1,15364.196,82017.266,1440
7,15423.893,81341.03,1440
25,15299.243,80632.09,1421
44,13521.723,80618.4,1440
2,15060.463,80553.84,1440
8,15041.124,80380.305,1440
3,14165.595,79557.21,1440
45,10359.047,78338.3,1440
4,12777.342,78061.43,1440
9,14153.636,77809.07,1440
10,12775.357,75270.3,1440
5,10153.119,69948.91,1440
11,10339.749,69148.57,1440
20,2419.9126,58118.105,1426
26,1343.3662,46587.76,1407
21,2393.998,42414.21,1426
49,95.09907,24816.256,1439
18,31.250574,12860.266,1430
33,246.90327,9487.66,1421
34,132.26526,2401.558,1421
37,858.2349,2228.2969,1440
19,42.755005,2070.9048,1427
35,99.639946,1166.628,1421
29,120.04528,780.7244,1421
15,34.41015,709.5215,1423
22,30.259527,609.7714,1426
47,3.0579352,556.5032,1440
28,38.50742,100.0,1415
16,37.87579,94.85527,1423
38,19.145044,74.43984,1426
12,18.05756,72.2406,1433
13,13.013924,65.81252,1426
14,10.988394,58.88082,1419
27,10.36771,46.378864,1412
