Generation 0 - Individual Bot Performance
==================================================
Format: BotID | Profit% | WinRate | Trades | FinalBalance | Fitness | Sharpe | MaxDD | SurvivedGens
==================================================

     0 |   -4.13% |  25.00% |     12 | $     95.87 |   12.83 |  -0.83 |  4.13% |   0
     1 |   +0.00% |   0.00% |      0 | $    100.00 |    0.00 |   0.00 |  0.00% |   0
     2 |  -36.60% |  27.71% |   4324 | $     63.40 |  -76.50 |  -0.41 | 90.11% |   0
     3 |   -1.83% |  34.73% |   1834 | $     98.17 |    3.64 |  -0.36 |  5.10% |   0
     4 |   -5.70% |  62.50% |      8 | $     94.30 | 9988.95 |  -1.00 |  5.70% |   0
     5 |   -4.70% |  27.89% |   2144 | $     95.30 |  -10.99 |  -0.18 | 26.09% |   0
     6 |   +8.55% |  62.50% |      8 | $    108.55 |   60.43 |   1.71 |  3.54% |   0
     7 |   -9.52% |  28.78% |   5378 | $     90.48 |  -13.56 |  -0.99 |  9.58% |   0
     8 |   -4.97% |  24.40% |   1127 | $     95.03 |  174.65 |  -0.27 | 18.34% |   0
     9 |   -4.88% |  46.46% |   1511 | $     95.12 |    1.43 |  -0.37 | 13.36% |   0
    10 |   +4.23% |  50.00% |     22 | $    104.23 |   16.57 |   0.18 | 23.19% |   0
    11 |   +2.80% |  40.00% |     15 | $    102.80 | 9993.57 |   0.56 |  4.47% |   0
    12 |   -1.13% |  33.33% |      3 | $     98.87 | 9989.97 |  -0.23 |  1.13% |   0
    13 |   -3.31% |  24.24% |   2681 | $     96.69 |    0.91 |  -0.52 |  6.38% |   0
    14 |   +0.00% |   0.00% |    465 | $    100.00 |  -25.07 |   0.00 | 40.14% |   0
    15 |   +0.00% |  66.67% |      3 | $    100.00 | 9988.33 |   0.00 | 20.01% |   0
    16 |   -0.17% |  26.14% |    593 | $     99.83 |  144.48 |  -0.01 | 14.37% |   0
    17 |   -4.61% |  40.00% |      5 | $     95.39 |   36.09 |  -0.92 |  4.61% |   0
    18 |  -78.37% |  25.54% |  21818 | $     21.63 | -118.78 |  -0.95 | 82.32% |   0
    19 |   +0.69% |  58.33% |     12 | $    100.69 | 9997.08 |   0.14 |  0.55% |   0
    20 |  -84.06% |  19.30% |   8222 | $     15.94 | -125.51 |  -0.93 | 90.05% |   0
    21 |  -84.30% |  59.05% |   2205 | $     15.70 | -121.41 |  -0.95 | 88.62% |   0
    22 |  -23.27% |  37.95% |   1768 | $     76.73 |  -21.56 |  -0.68 | 34.44% |   0
    23 |  -61.92% |  24.71% |   4448 | $     38.08 |    8.62 |  -0.69 | 89.99% |   0
    24 |   +0.00% |  66.67% |      3 | $    100.00 | 9968.31 |   0.00 | 60.04% |   0
    25 |  -12.29% |  33.94% |   2027 | $     87.71 |  -13.95 |  -0.74 | 16.59% |   0
    26 |   +5.61% |  76.92% |     13 | $    105.61 | 10002.47 |   0.80 |  7.04% |   0
    27 |  -90.05% |  30.46% |  11551 | $      9.95 | -134.09 |  -1.00 | 90.27% |   0
    28 |   +0.00% |   0.00% |      2 | $    100.00 |    4.39 |   0.00 |  1.21% |   0
    29 |  -23.78% |  22.54% |   2830 | $     76.22 |  -39.97 |  -0.35 | 67.67% |   0
