bar,open,high,low,close,volume,gpu,cpu,diff
0,88066.7,88174.6,88048.0,88155.1,5735.0,0.0,0.0,0.0
1,88146.7,88160.1,88081.7,88081.7,4816.0,0.0,0.0,0.0
2,88080.4,88080.4,87849.9,87850.0,10862.0,0.0,0.0,0.0
3,87857.1,87944.5,87780.2,87930.1,15390.0,0.0,0.0,0.0
4,87930.2,88039.6,87930.2,87991.6,4863.0,0.0,0.0,0.0
5,87980.8,87980.8,87852.6,87856.9,2161.0,0.0,0.0,0.0
6,87862.5,87869.1,87773.9,87797.8,3002.0,0.0,0.0,0.0
7,87794.2,87794.2,87660.4,87672.7,7045.0,0.0,0.0,0.0
8,87672.6,87704.8,87569.3,87664.0,6992.0,0.0,0.0,0.0
9,87657.2,87718.7,87621.5,87639.1,4116.0,0.0,0.0,0.0
10,87649.7,87726.9,87580.2,87580.2,5538.0,0.0,0.0,0.0
11,87583.2,87604.9,87412.0,87430.1,7937.0,0.0,0.0,0.0
12,87427.6,87504.4,87326.9,87504.4,28049.0,0.0,0.0,0.0
13,87505.9,87647.8,87477.7,87600.8,5425.0,0.0,0.0,0.0
14,87596.5,87649.2,87531.3,87564.6,5409.0,0.0,0.0,0.0
15,87564.6,87669.2,87529.0,87648.0,5356.0,0.0,0.0,0.0
16,87649.4,87731.5,87631.9,87721.9,8400.0,0.0,0.0,0.0
17,87708.6,87759.6,87682.4,87759.6,6562.0,0.0,0.0,0.0
18,87750.7,87750.7,87519.8,87519.8,4150.0,0.0,0.0,0.0
19,87502.6,87590.1,87498.4,87562.6,3954.0,0.0,0.0,0.0
20,87566.9,87578.4,87328.7,87343.5,11941.0,0.0,0.0,0.0
21,87343.4,87344.0,87227.3,87256.3,12379.0,0.0,0.0,0.0
22,87252.7,87420.8,87252.7,87392.1,3767.0,0.0,0.0,0.0
23,87392.1,87404.4,87287.0,87371.4,6300.0,0.0,0.0,0.0
24,87372.5,87475.6,87339.6,87471.7,3668.0,0.0,0.0,0.0
25,87471.1,87484.4,87403.9,87439.2,2831.0,0.0,0.0,0.0
26,87436.2,87436.2,87315.9,87370.4,3545.0,6969.71923828125,-151.765625,7121.48486328125
27,87363.6,87377.7,87303.3,87303.3,4063.0,12345.5458984375,-154.1484375,12499.6943359375
28,87303.2,87318.1,87204.0,87204.0,3420.0,16408.765625,-162.1796875,16570.9453125
29,87200.9,87280.4,87200.9,87257.5,3839.0,19409.470703125,-162.359375,19571.830078125
30,87263.5,87278.8,87211.2,87226.8,13526.0,21536.8125,-163.1015625,21699.9140625
31,87226.1,87258.0,87206.6,87206.6,2066.0,22956.48828125,-163.4296875,23119.91796875
32,87205.6,87205.6,87154.6,87173.2,5683.0,23804.4921875,-164.4921875,23968.984375
33,87173.3,87298.7,87173.3,87286.8,7188.0,24206.671875,-154.390625,24361.0625
34,87283.7,87286.9,87182.4,87186.8,7126.0,24237.93359375,-152.6953125,24390.62890625
35,87183.8,87183.8,87080.0,87080.0,7382.0,23977.68359375,-158.140625,24135.82421875
36,87080.0,87113.9,86878.6,86895.9,34739.0,23485.8515625,-175.296875,23661.1484375
37,86901.3,86939.1,86776.4,86781.0,17855.0,22823.69921875,-195.8984375,23019.59765625
38,86790.1,86895.4,86767.0,86877.6,13092.0,22052.53125,-202.1015625,22254.6328125
39,86877.7,86894.4,86752.5,86799.2,5481.0,21190.7734375,-210.9140625,21401.6875
40,86806.7,86985.6,86797.5,86985.6,5524.0,20288.98828125,-200.546875,20489.53515625
41,86985.6,87091.2,86985.6,87037.7,6819.0,19355.40234375,-185.984375,19541.38671875
42,87042.2,87085.2,87006.2,87022.0,9574.0,18402.1328125,-173.703125,18575.8359375
43,87016.0,87059.1,86992.0,87055.7,4562.0,17448.25,-159.4140625,17607.6640625
44,87037.1,87118.4,87034.5,87034.5,4385.0,16500.3671875,-148.09375,16648.4609375
45,87034.0,87079.4,86918.0,86918.1,5614.0,15560.3984375,-146.8203125,15707.21875
